번호,설립,학교명,캠퍼스명,학급,학종,지역,조사연도,한달 기숙사비,,,,,,,,,,,,,,,
,,,,,,,,직영,,,,민자,,,,임차,,,,평균,,,
,,,,,,,,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상,1인실,2인실,3인실,4인실 이상
74,사립,대구가톨릭대학교,본교(효성),대학,일반대학,경북,2022,342.3,227.3,0.0,208.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.3,227.3,0.0,208.7
75,사립,대구가톨릭대학교,제2캠퍼스(루가),대학,일반대학,대구,2022,372.9,245.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.9,245.3,0.0,0.0
76,사립,대구가톨릭대학교,제3캠퍼스(유스티노),대학,일반대학,대구,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,사립,대구대학교,본교(경산),대학,일반대학,경북,2022,278.4,188.5,0.0,0.0,0.0,233.6,0.0,0.0,0.0,0.0,0.0,0.0,278.4,195.1,0.0,0.0
78,사립,대구대학교,제2캠퍼스(대명),대학,일반대학,경북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,사립,대구예술대학교,본교(칠곡),대학,일반대학,경북,2022,0.0,163.6,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.6,0.0,443.0
80,사립,대구한의대학교,삼성캠퍼스,대학,일반대학,경북,2022,279.4,186.3,0.0,0.0,254.8,254.8,0.0,0.0,0.0,0.0,207.2,207.2,277.6,242.3,207.2,207.2
81,사립,대구한의대학교,오성캠퍼스,대학,일반대학,경북,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,사립,대신대학교,본교(경산),대학,일반대학,경북,2022,150.3,133.2,97.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.3,133.2,97.4,0.0
83,사립,대전가톨릭대학교,본교(연기),대학,일반대학,세종,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,사립,대전대학교,본교(용운),대학,일반대학,대전,2022,362.7,218.2,132.3,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.7,218.2,132.3,117.6
85,사립,대전신학대학교,본교,대학,일반대학,대전,2022,0.0,176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.5,0.0,0.0
86,사립,대진대학교,본교(포천),대학,일반대학,경기,2022,205.1,235.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.1,235.3,0.0,0.0
87,사립,덕성여자대학교,쌍문캠퍼스,대학,일반대학,서울,2022,343.2,264.0,0.0,238.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.2,264.0,0.0,238.8
88,사립,덕성여자대학교,종로캠퍼스,대학,일반대학,서울,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,사립,동국대학교,본교(서울),대학,일반대학,서울,2022,225.2,256.4,231.5,145.4,241.7,241.7,241.7,0.0,0.0,0.0,0.0,0.0,231.5,243.1,241.4,145.4
90,사립,동국대학교,분교(경주),대학,일반대학,경북,2022,0.0,253.9,200.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.9,200.9,0.0
91,사립,동국대학교,일산캠퍼스,대학,일반대학,경기,2022,544.5,297.5,297.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.5,297.5,297.5,0.0
92,사립,동덕여자대학교,본교(서울월곡),대학,일반대학,서울,2022,0.0,330.0,0.0,259.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.9,0.0,330.0,0.0,258.4
93,사립,동명대학교,본교(용당),대학,일반대학,부산,2022,205.2,190.8,160.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.2,190.8,160.8,0.0
94,사립,동서대학교,본교(사상),대학,일반대학,부산,2022,123.9,156.5,102.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,123.9,153.5,102.0,0.0
95,사립,동서대학교,산단캠퍼스,대학,일반대학,부산,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,사립,동신대학교,본교,대학,일반대학,전남,2022,0.0,172.3,162.2,162.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.3,162.2,162.2
97,사립,동아대학교,본교(승학),대학,일반대학,부산,2022,194.9,204.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.9,204.7,0.0,0.0
98,사립,동아대학교,제2캠퍼스(구덕),대학,일반대학,부산,2022,207.5,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.5,207.5,0.0,0.0
99,사립,동아대학교,제3캠퍼스(부민),대학,일반대학,부산,2022,228.0,241.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,241.5,0.0,0.0
100,사립,동양대학교,본교(영주),대학,일반대학,경북,2022,230.5,159.3,137.2,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,230.5,161.3,137.2,0.0
101,사립,동양대학교,캠퍼스(동두천시),대학,일반대학,경기,2022,369.8,284.9,255.8,244.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.8,284.9,255.8,244.5
102,사립,동의대학교,본교(가야),대학,일반대학,부산,2022,279.3,177.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,279.3,202.7,0.0,0.0
103,사립,동의대학교,제2캠퍼스(양정),대학,일반대학,부산,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,사립,루터대학교,본교(경기),대학,일반대학,경기,2022,362.1,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.1,181.0,0.0,0.0
105,사립,명지대학교,인문캠퍼스,대학,일반대학,서울,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.9,0.0,252.7,0.0,341.9,0.0,252.7
106,사립,명지대학교,자연캠퍼스,대학,일반대학,경기,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,269.8,0.0,173.3,227.0,269.8,0.0,173.3
107,사립,목원대학교,본교,대학,일반대학,대전,2022,210.7,209.7,0.0,134.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.7,209.7,0.0,134.9
108,사립,목포가톨릭대학교,본교(목포),대학,일반대학,전남,2022,178.9,120.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.9,120.7,0.0,0.0
109,국립,목포대학교,본교(도림),대학,일반대학,전남,2022,237.4,150.5,141.0,0.0,156.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,232.3,152.8,141.0,0.0
110,국립,목포대학교,산단캠퍼스,대학,일반대학,전남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,국립,목포대학교,제2캠퍼스(목포),대학,일반대학,전남,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,국립,목포해양대학교,본교(목포),대학,일반대학,전남,2022,0.0,152.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,100.0
113,사립,배재대학교,본교(대전),대학,일반대학,대전,2022,0.0,189.5,168.1,134.8,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,230.0,189.5,168.1,134.8
114,사립,배재대학교,산단캠퍼스,대학,일반대학,대전,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,사립,백석대학교,본교(천안),대학,일반대학,충남,2022,278.5,324.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.5,324.3,0.0,0.0
116,사립,백석대학교,제2캠퍼스(서울),대학,일반대학,서울,2022,495.9,495.9,0.0,347.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.9,495.9,0.0,347.1
117,국립,부경대학교,본교(대연),대학,일반대학,부산,2022,0.0,0.0,0.0,0.0,318.6,157.9,0.0,0.0,0.0,0.0,0.0,0.0,318.6,157.9,0.0,0.0
118,국립,부경대학교,제2캠퍼스(용당),대학,일반대학,부산,2022,201.0,124.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,124.1,0.0,0.0
119,사립,부산가톨릭대학교,본교,대학,일반대학,부산,2022,0.0,164.6,169.9,159.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.6,169.9,159.3
120,국립,부산대학교,본교(부산),대학,일반대학,부산,2022,241.2,150.9,0.0,0.0,385.4,199.3,0.0,0.0,0.0,0.0,0.0,0.0,275.6,187.8,0.0,0.0
121,국립,부산대학교,제4캠퍼스(양산),대학,일반대학,경남,2022,379.8,208.5,0.0,0.0,368.4,204.6,0.0,0.0,0.0,0.0,0.0,0.0,371.4,205.7,0.0,0.0
122,국립,부산대학교,제3캠퍼스(밀양),대학,일반대학,경남,2022,0.0,176.7,0.0,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.7,0.0,138.6
123,사립,부산외국어대학교,본교(남산동),대학,일반대학,부산,2022,348.8,207.0,184.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.8,207.0,184.2,0.0
124,사립,부산장신대학교,본교,대학,일반대학,경남,2022,0.0,0.0,0.0,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5
125,사립,삼육대학교,본교,대학,일반대학,서울,2022,548.9,302.5,208.1,169.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.9,302.5,208.1,169.9
126,사립,상명대학교,본교(서울),대학,일반대학,서울,2022,351.3,236.5,181.3,130.7,223.4,223.4,223.4,0.0,0.0,0.0,0.0,0.0,342.2,235.8,212.9,130.7
127,사립,상명대학교,캠퍼스(천안),대학,일반대학,충남,2022,500.4,243.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.4,243.7,0.0,0.0
128,사립,상지대학교,본교(강원원주),대학,일반대학,강원,2022,176.8,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.8,175.0,0.0,0.0
129,사립,서강대학교,본교(서울),대학,일반대학,서울,2022,0.0,213.0,0.0,213.0,0.0,437.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.3,0.0,213.0
130,사립,서경대학교,본교(서울정릉),대학,일반대학,서울,2022,0.0,226.0,0.0,149.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,149.1
131,국립,서울과학기술대학교,본교,대학,일반대학,서울,2022,318.3,325.9,355.1,0.0,418.5,240.3,0.0,244.0,0.0,0.0,0.0,0.0,406.1,263.7,355.1,244.0
132,사립,서울기독대학교,본교(서울은평),대학,일반대학,서울,2022,0.0,92.9,0.0,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9,0.0,92.9
133,국립,서울대학교,본교(관악),대학,일반대학,서울,2022,217.7,165.9,0.0,191.1,294.7,209.1,0.0,0.0,0.0,0.0,0.0,0.0,252.3,191.0,0.0,191.1
134,국립,서울대학교,제2캠퍼스(연건),대학,일반대학,서울,2022,357.9,133.4,0.0,537.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.9,133.4,0.0,537.8
135,국립,서울대학교,평창캠퍼스,대학,일반대학,강원,2022,100.8,100.8,0.0,180.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.8,100.8,0.0,180.2
136,사립,서울신학대학교,본교(부천),대학,일반대학,경기,2022,0.0,226.4,171.8,171.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.4,171.8,171.8
137,사립,서울여자대학교,본교(서울),대학,일반대학,서울,2022,379.2,278.2,218.3,238.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.2,278.2,218.3,238.1
